"","locality","n","cont","hist"
"1","AP",17,"9/1/18",NA
"2","AP",104,NA,"5/16/69"
"3","UC",33,"8/31/18",NA
"4","UC",61,NA,"2/3/70"
"5","UC",78,NA,"5/16/69"
"6","BM",17,"5/4/19",NA
"7","BM",76,NA,"5/8/69"
"8","YB",20,"5/5/19",NA
"9","YB",46,"8/11/18",NA
"10","YB",66,NA,"2/6/70"
"11","YB",67,NA,"5/9/69"
"12","YH",5,NA,"2/6/70"
"13","YH",17,NA,"5/9/69"
"14","YH",38,"8/11/18",NA
"15","TN",34,"5/26/19",NA
"16","TN",43,"5/28/18",NA
"17","TN",84,NA,"2/5/69"
"18","TN",160,NA,"5/17/69"
"19","AL",4,"2/1/20",NA
"20","AL",36,"2/16/19",NA
"21","AL",98,NA,"2/1/70"
"22","FH",41,"2/16/19",NA
"23","FH",43,"1/31/20",NA
"24","FH",67,NA,"2/1/70"
"25","FB",22,"2/16/19",NA
"26","FB",24,"2/1/20",NA
"27","FB",55,NA,"2/1/70"
"28","SP",18,"5/30/18",NA
"29","SP",47,"5/18/19",NA
"30","SP",53,NA,"5/13/69"
"31","SP",54,NA,"2/1/70"
"32","NB",25,NA,"2/4/70"
"33","NB",33,"5/18/19",NA
"34","NB",35,NA,"2/1/70"
"35","NB",70,"5/30/18",NA
"36","NB",99,NA,"5/14/69"
